complete_date,num1
2021/11/22,5835
2021/11/23,6801
2021/11/24,7230
2021/11/25,6466
2021/11/26,6026
2021/11/27,4184
2021/11/28,4234
2021/11/29,4293
2021/11/30,4148
2021/12/1,4630
2021/12/2,4397
2021/12/3,4968
2021/12/4,5865
2021/12/5,7941
2021/12/6,5415
2021/12/7,4814
2021/12/8,4953
2021/12/9,5050
2021/12/10,4862
2021/12/11,4959
2021/12/12,4959
2021/12/13,4365
2021/12/14,5343
2021/12/15,5765
2021/12/16,5970
2021/12/17,5562
2021/12/18,5333
2021/12/19,4842
2021/12/20,3800
2021/12/21,4888
2021/12/22,6103
2021/12/23,5627
2021/12/24,6411
2021/12/25,5426
2021/12/26,5162
2021/12/27,5313
2021/12/28,6613
2021/12/29,8011
2021/12/30,8845
2021/12/31,9223
2022/1/1,8630
2022/1/2,6525
2022/1/3,6924
2022/1/4,7500
2022/1/5,7768
2022/1/6,7985
2022/1/7,7206
2022/1/8,6996
2022/1/9,5960
2022/1/10,5476
2022/1/11,5649
2022/1/12,5052
2022/1/13,6323
2022/1/14,6562
2022/1/15,6836
2022/1/16,6046
2022/1/17,5818
2022/1/18,6181
2022/1/19,6941
2022/1/20,6641
2022/1/21,6820
2022/1/22,6785
2022/1/23,5936
2022/1/24,4878
2022/1/25,4701
2022/1/26,4773
2022/1/27,4748
2022/1/28,4183
2022/1/29,3660
2022/1/30,2632
2022/1/31,2477
2022/2/1,786
2022/2/2,1062
2022/2/3,1242
2022/2/4,1548
2022/2/5,2470
2022/2/6,2318
2022/2/7,2098
2022/2/8,4052
2022/2/9,5032
2022/2/10,4439
2022/2/11,4857
2022/2/12,5739
2022/2/13,4984
2022/2/14,4795
2022/2/15,5980
2022/2/16,6900
2022/2/17,6844
2022/2/18,6475
2022/2/19,6618
2022/2/20,6057
2022/2/21,5663
2022/2/22,5948
2022/2/23,5934
2022/2/24,6092
2022/2/25,6021
2022/2/26,6354
2022/2/27,6251
2022/2/28,5971
2022/3/1,5547
2022/3/2,5901
2022/3/3,6049
2022/3/4,6124
2022/3/5,5757
2022/3/6,5607
2022/3/7,5155
2022/3/8,5393
2022/3/9,5780
2022/3/10,6295
2022/3/11,6199
2022/3/12,5991
2022/3/13,5585
2022/3/14,4580
2022/3/15,6582
2022/3/16,7248
2022/3/17,7624
2022/3/18,7583
2022/3/19,7201
2022/3/20,7176
2022/3/21,5879
2022/3/22,6161
2022/3/23,6974
2022/3/24,7420
2022/3/25,6966
2022/3/26,6897
2022/3/27,7166
2022/3/28,5931
2022/3/29,6961
2022/3/30,7279
2022/3/31,7552
2022/4/1,7376
2022/4/2,7550
2022/4/3,7869
2022/4/4,6762
2022/4/5,7736
2022/4/6,5597
2022/4/7,6773
2022/4/8,7096
2022/4/9,7354
2022/4/10,7332
2022/4/11,7235
2022/4/12,6153
2022/4/13,6698
2022/4/14,7164
2022/4/15,7977
2022/4/16,7223
2022/4/17,6768
2022/4/18,6184
2022/4/19,6381
2022/4/20,6951
2022/4/21,7282
2022/4/22,7615
2022/4/23,7548
2022/4/24,7132
2022/4/25,6202
2022/4/26,7343
2022/4/27,7863
2022/4/28,7537
2022/4/29,7713
2022/4/30,8170
2022/5/1,7771
2022/5/2,5561
2022/5/3,6445
2022/5/4,7228
2022/5/5,7799
2022/5/6,8131
2022/5/7,7613
2022/5/8,7753
2022/5/9,6793
2022/5/10,6732
2022/5/11,6931
2022/5/12,7414
2022/5/13,7704
2022/5/14,8039
2022/5/15,7845
2022/5/16,7627
2022/5/17,8162
2022/5/18,8484
2022/5/19,9070
2022/5/20,8594
2022/5/21,8962
2022/5/22,8404
2022/5/23,7761
2022/5/24,8334
2022/5/25,9219
2022/5/26,8947
2022/5/27,9242
2022/5/28,8656
2022/5/29,8315
2022/5/30,7672
2022/5/31,8403
2022/6/1,8023
2022/6/2,8057
2022/6/3,8375
2022/6/4,6867
2022/6/5,7226
2022/6/6,7228
2022/6/7,7340
2022/6/8,8808
2022/6/9,9265
2022/6/10,8761
2022/6/11,8133
2022/6/12,8317
2022/6/13,7743
2022/6/14,7466
2022/6/15,8682
2022/6/16,8441
2022/6/17,8283
2022/6/18,8663
2022/6/19,8360
2022/6/20,7127
2022/6/21,7479
2022/6/22,7870
2022/6/23,7972
2022/6/24,8503
2022/6/25,8133
2022/6/26,7869
2022/6/27,6445
2022/6/28,7473
2022/6/29,7794
2022/6/30,7910
2022/7/1,7064
2022/7/2,7291
2022/7/3,6716
2022/7/4,6139
2022/7/5,7287
2022/7/6,7593
2022/7/7,7459
2022/7/8,7571
2022/7/9,7618
2022/7/10,7201
2022/7/11,5891
2022/7/12,6955
2022/7/13,6867
2022/7/14,7516
2022/7/15,7409
2022/7/16,7139
2022/7/17,7308
2022/7/18,5856
2022/7/19,7233
2022/7/20,7195
2022/7/21,7664
2022/7/22,7297
2022/7/23,6738
2022/7/24,7082
2022/7/25,5935
2022/7/26,6913
2022/7/27,7164
2022/7/28,8189
2022/7/29,7926
2022/7/30,8408
2022/7/31,8032
2022/8/1,7040
2022/8/2,7833
2022/8/3,7656
2022/8/4,8605
2022/8/5,8192
2022/8/6,8563
2022/8/7,8226
2022/8/8,7536
2022/8/9,8000
2022/8/10,8694
2022/8/11,8368
2022/8/12,8976
2022/8/13,8315
2022/8/14,7073
2022/8/15,7096
2022/8/16,7576
2022/8/17,7654
2022/8/18,8374
2022/8/19,7760
2022/8/20,7578
2022/8/21,7541
2022/8/22,6328
2022/8/23,6817
2022/8/24,7454
2022/8/25,6983
2022/8/26,7765
2022/8/27,6763
2022/8/28,6808
2022/8/29,5794
2022/8/30,6439
2022/8/31,6590
2022/9/1,6667
2022/9/2,6802
2022/9/3,6709
2022/9/4,7692
2022/9/5,6637
2022/9/6,6656
2022/9/7,6339
2022/9/8,7216
2022/9/9,6232
2022/9/10,7166
2022/9/11,5197
2022/9/12,5225
2022/9/13,6293
2022/9/14,7169
2022/9/15,7473
2022/9/16,7758
2022/9/17,7613
2022/9/18,6878
2022/9/19,6454
2022/9/20,6850
2022/9/21,7417
2022/9/22,7066
2022/9/23,7441
2022/9/24,6674
2022/9/25,6653
2022/9/26,6289
2022/9/27,6587
2022/9/28,6738
2022/9/29,6794
2022/9/30,7210
2022/10/1,7937
2022/10/2,6733
2022/10/3,6831
2022/10/4,7366
2022/10/5,7536
2022/10/6,8960
2022/10/7,8356
2022/10/8,9372
2022/10/9,8937
2022/10/10,8616
2022/10/11,8549
2022/10/12,8234
2022/10/13,8152
2022/10/14,7965
2022/10/15,8409
2022/10/16,8222
2022/10/17,7657
2022/10/18,7799
2022/10/19,7952
2022/10/20,8796
2022/10/21,9484
2022/10/22,8998
2022/10/23,8890
2022/10/24,8196
2022/10/25,8230
2022/10/26,8935
2022/10/27,9028
2022/10/28,8687
2022/10/29,10023
2022/10/30,9735
2022/10/31,8411
2022/11/1,8371
2022/11/2,8426
2022/11/3,8741
2022/11/4,9367
2022/11/5,10260
2022/11/6,11550
2022/11/7,11427
2022/11/8,10306
2022/11/9,10988
2022/11/10,11157
2022/11/11,8700
2022/11/12,8785
2022/11/13,10833
2022/11/14,10536
2022/11/15,9913
2022/11/16,11013
2022/11/17,10017
2022/11/18,9989
2022/11/19,9178
2022/11/20,9466
2022/11/21,8774
2022/11/22,8832
2022/11/23,8810
2022/11/24,8055
2022/11/25,8372
2022/11/26,7395
2022/11/27,6892
2022/11/28,7074
2022/11/29,7973
2022/11/30,8862
2022/12/1,9830
2022/12/2,8643
2022/12/3,7205
2022/12/4,7619
2022/12/5,6719
2022/12/6,7300
2022/12/7,8475
2022/12/8,8264
2022/12/9,10080
2022/12/10,9392
2022/12/11,8850
2022/12/12,8621
2022/12/13,7972
2022/12/14,8594
2022/12/15,7981
2022/12/16,7576
2022/12/17,6586
2022/12/18,6546
2022/12/19,5504
2022/12/20,5639
2022/12/21,4884
2022/12/22,5129
2022/12/23,5451
2022/12/24,5231
2022/12/25,4666
2022/12/26,4245
2022/12/27,4906
2022/12/28,6323
2022/12/29,8569
2022/12/30,8270
2022/12/31,8677
2023/1/1,8165
2023/1/2,7578
2023/1/3,6898
2023/1/4,7846
2023/1/5,9004
2023/1/6,9127
2023/1/7,9266
2023/1/8,9616
2023/1/9,8636
2023/1/10,8831
2023/1/11,9000
2023/1/12,8636
2023/1/13,9041
2023/1/14,8500
2023/1/15,8770
2023/1/16,7644
2023/1/17,7038
2023/1/18,5914
2023/1/19,4736
2023/1/20,3436
2023/1/21,3009
2023/1/22,1075
2023/1/23,485
2023/1/24,1406
2023/1/25,1587
2023/1/26,2024
2023/1/27,2108
2023/1/28,2295
2023/1/29,3035
2023/1/30,4627
2023/1/31,6108
2023/2/1,5857
2023/2/2,5371
2023/2/3,5930
2023/2/4,6748
2023/2/5,7018
2023/2/6,7034
2023/2/7,7789
2023/2/8,8269
2023/2/9,9339
2023/2/10,9959
2023/2/11,10439
2023/2/12,9553
2023/2/13,8753
2023/2/14,9786
2023/2/15,9626
2023/2/16,8517
2023/2/17,9149
2023/2/18,8772
2023/2/19,10155
2023/2/20,8888
2023/2/21,10062
2023/2/22,10692
2023/2/23,11310
2023/2/24,10933
2023/2/25,10991
2023/2/26,10058
2023/2/27,10798
2023/2/28,11063
2023/3/1,10941
2023/3/2,10967
2023/3/3,10098
2023/3/4,9233
2023/3/5,9690
2023/3/6,9284
2023/3/7,8319
2023/3/8,9311
2023/3/9,10490
2023/3/10,10764
2023/3/11,10894
2023/3/12,9816
2023/3/13,9727
2023/3/14,10405
2023/3/15,11218
2023/3/16,10960
2023/3/17,11101
2023/3/18,11746
2023/3/19,11763
2023/3/20,11857
2023/3/21,10513
2023/3/22,10513
2023/3/23,11373
2023/3/24,10310
2023/3/25,10978
2023/3/26,11367
2023/3/27,10515
2023/3/28,11223
2023/3/29,10465
2023/3/30,10170
2023/3/31,10238
2023/4/1,10353
2023/4/2,10788
2023/4/3,10527
2023/4/4,11105
2023/4/5,11670
2023/4/6,8896
2023/4/7,10204
2023/4/8,10396
2023/4/9,10633
2023/4/10,11026
2023/4/11,11288
2023/4/12,11527
2023/4/13,11323
2023/4/14,11934
2023/4/15,11898
2023/4/16,12077
2023/4/17,10608
2023/4/18,10532
2023/4/19,11112
2023/4/20,11507
2023/4/21,11055
2023/4/22,10895
2023/4/23,10620
2023/4/24,8971
2023/4/25,9734
2023/4/26,10748
2023/4/27,11039
2023/4/28,11179
2023/4/29,11282
2023/4/30,11435
2023/5/1,11922
2023/5/2,10251
2023/5/3,11128
2023/5/4,11463
2023/5/5,11975
2023/5/6,12075
2023/5/7,11355
2023/5/8,10800
2023/5/9,11545
2023/5/10,11885
2023/5/11,11395
2023/5/12,10500
2023/5/13,11355
2023/5/14,11192
2023/5/15,10704
2023/5/16,10292
2023/5/17,11901
2023/5/18,12598
2023/5/19,12049
2023/5/20,13309
2023/5/21,12877
2023/5/22,12612
2023/5/23,12707
2023/5/24,12854
2023/5/25,11987
2023/5/26,13423
2023/5/27,13919
2023/5/28,13124
2023/5/29,13015
2023/5/30,13243
2023/5/31,13307
2023/6/1,12314
2023/6/2,13938
2023/6/3,13352
2023/6/4,13371
2023/6/5,13025
2023/6/6,12444
2023/6/7,13290
2023/6/8,11905
2023/6/9,12525
2023/6/10,12794
2023/6/11,12913
2023/6/12,12970
2023/6/13,12500
2023/6/14,12018
2023/6/15,12580
2023/6/16,12552
2023/6/17,13606
2023/6/18,13519
2023/6/19,12804
2023/6/20,14817
2023/6/21,12415
2023/6/22,12944
2023/6/23,11819
2023/6/24,11242
2023/6/25,11870
2023/6/26,12684
2023/6/27,12806
2023/6/28,13456
2023/6/29,12719
2023/6/30,13306
2023/7/1,13491
2023/7/2,15396
2023/7/3,13933
2023/7/4,12429
2023/7/5,12873
2023/7/6,13389
2023/7/7,12888
2023/7/8,13018
2023/7/9,12867
2023/7/10,10416
2023/7/11,11302
2023/7/12,11554
2023/7/13,12679
2023/7/14,12140
2023/7/15,11878
2023/7/16,11766
2023/7/17,12513
2023/7/18,12551
2023/7/19,13920
2023/7/20,13837
2023/7/21,13337
2023/7/22,12829
2023/7/23,12466
2023/7/24,11487
2023/7/25,12633
2023/7/26,12463
2023/7/27,15273
2023/7/28,14099
2023/7/29,13800
2023/7/30,13114
2023/7/31,11120
2023/8/1,12257
2023/8/2,10128
2023/8/3,11438
2023/8/4,11052
2023/8/5,10067
2023/8/6,10274
2023/8/7,10503
2023/8/8,13346
2023/8/9,14508
2023/8/10,12928
2023/8/11,12768
2023/8/12,12757
2023/8/13,12716
2023/8/14,11886
2023/8/15,12436
2023/8/16,13298
2023/8/17,12337
2023/8/18,13327
2023/8/19,14311
2023/8/20,15000
2023/8/21,13128
2023/8/22,11590
2023/8/23,10320
2023/8/24,13484
